ceruleite	Cu2Al7(AsO4)4(OH)13
cerussite	PbCO3
cervandonite-(ce)	(Ce,Nd,La)(Fe,Fe,Ti,Al)3SiAs(Si,As)O13
cervantite	SbSbO4
cervelleite	Ag4TeS
cesanite	Na3Ca2(SO4)3(OH)
cesarolite	PbH2Mn3O8
cesbronite	Cu5(TeO3)2(OH)6
cesiumkupletskite	(Cs,K)2Na(Mn,Fe,Li)7(Ti,Nb)2Si8O26(OH)4F
cesplumtantite	(Cs,Na)2(Pb,Sb)3Ta8O24
cesstibtantite	(Cs,Na)SbTa4O12
chabazite-ca	(Ca0,5,K,Na)4[Al4Si8O24]
chabazite-k	(K,Na,Ca0,5)4[Al4Si8O24]
chabazite-na	(Na,K,Ca0,5)4[Al4Si8O24]
chabazite-sr	(Sr,Ca)[Al2Si4O12]
